,Neighborhood,Longitude,Latitude,Area,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,Adlershof,13.543297454882161,52.43781081171506,6.128075227148761,0,Supermarket,Café,Bakery,Drugstore,Hotel,Tram Station,Light Rail Station,Gas Station,Park,Italian Restaurant
1,Alt-Hohenschönhausen,13.504252900907009,52.54865433152076,9.352685224637838,0,Tram Station,Supermarket,Hotel,Lake,Bakery,Soccer Field,Furniture / Home Store,Drugstore,Café,Shopping Mall
2,Alt-Treptow,13.44951689433044,52.489553671283915,2.313941534373264,4,Italian Restaurant,Bus Stop,Café,Restaurant,Bakery,Supermarket,Tapas Restaurant,Coffee Shop,Playground,Falafel Restaurant
3,Altglienicke,13.54351028358779,52.41070194076076,7.876912732574878,1,Supermarket,Bus Stop,Bakery,Lottery Retailer,Liquor Store,Light Rail Station,Hotel,Discount Store,Forest,Bowling Alley
4,Baumschulenweg,13.467906725395558,52.4578600816797,4.824118697876476,5,Supermarket,Bus Stop,Bakery,Café,Forest,Pier,Drugstore,Platform,Intersection,Tennis Court
5,Biesdorf,13.557603965938913,52.5042368923981,12.442222030467688,5,Supermarket,Bus Stop,Lake,Italian Restaurant,Ice Cream Shop,Drugstore,Pet Store,Metro Station,Electronics Store,Shopping Mall
6,Blankenburg,13.461721998139904,52.594035303178444,6.061649283796258,5,Bus Stop,Supermarket,Garden,Construction & Landscaping,Restaurant,Greek Restaurant,Train Station,Golf Course,Tree,Bakery
7,Blankenfelde,13.399163190389348,52.62420135210748,13.270857949553326,2,Bus Stop,Scenic Lookout,Café,Lake,Dog Run,Supermarket,Bakery,Tram Station,Trail,Liquor Store
8,Bohnsdorf,13.567802121892331,52.40193265894668,6.524374388219523,2,Hotel,Insurance Office,Supermarket,Park,Electronics Store,Gluten-free Restaurant,Bakery,Playground,Automotive Shop,Gas Station
9,Borsigwalde,13.307061538638767,52.58473613801057,2.0436230372173476,1,Supermarket,Motorcycle Shop,Italian Restaurant,ATM,Athletics & Sports,Furniture / Home Store,Gas Station,Soccer Field,Go Kart Track,Fast Food Restaurant
10,Britz,13.435511574402996,52.443998485242204,12.392902656346722,5,Supermarket,Bus Stop,Bakery,Italian Restaurant,Playground,Garden,German Restaurant,Park,Fast Food Restaurant,Metro Station
11,Buch,13.474536245371363,52.647545566285785,18.2430442375352,2,Nature Preserve,Supermarket,Café,Plaza,Bus Stop,Light Rail Station,Lake,Italian Restaurant,Automotive Shop,Gym
12,Buckow,13.427557230906716,52.419115004512626,6.3488992238687,5,,,,,,,,,,
13,Charlottenburg,13.30970869308101,52.5155497549019,10.596593904601228,4,,,,,,,,,,
14,Charlottenburg-Nord,13.299935872934956,52.53952249415007,6.199409937396531,5,,,,,,,,,,
15,Dahlem,13.278471323210491,52.45616934548006,8.3948471497686,4,,,,,,,,,,
16,Falkenberg,13.552657260375877,52.57685250171477,3.0530364149060523,2,,,,,,,,,,
17,Falkenhagener Feld,13.16898602886217,52.55250046690626,6.876050915779634,1,,,,,,,,,,
18,Fennpfuhl,13.473862032041925,52.53161400721214,2.122568345526338,0,,,,,,,,,,
19,Französisch,13.432990324744841,52.611293946073275,12.032138455649394,0,,,,,,,,,,
20,Friedenau,13.32883953088205,52.47147348200186,1.6550827063745608,4,,,,,,,,,,
21,Friedrichsfelde,13.51780998628601,52.50260738420366,5.837245743304857,1,,,,,,,,,,
22,Friedrichshagen,13.636237037495928,52.458335285220144,14.033668009952729,2,,,,,,,,,,
23,Friedrichshain,13.451964836104947,52.508455001032694,9.949754360000078,4,,,,,,,,,,
24,Frohnau,13.296697649168884,52.64274930121972,7.839865809896794,4,,,,,,,,,,
25,Gatow,13.164144211761403,52.48401287555123,10.112385066874392,6,,,,,,,,,,
26,Gesundbrunnen,13.383636722016691,52.55041239397168,6.126835406317987,4,,,,,,,,,,
27,Gropiusstadt,13.460356272952705,52.42814920549097,2.669256217518685,4,,,,,,,,,,
28,Grunewald,13.239054703562058,52.48580312573873,22.353925970548183,2,,,,,,,,,,
29,Grünau,13.607505113262235,52.403732158227754,9.14194252373617,0,,,,,,,,,,
30,Hakenfelde,13.189062279598339,52.57109828624448,20.38077783066476,1,,,,,,,,,,
31,Halensee,13.29293110804064,52.49569484568019,1.2668507574146717,4,,,,,,,,,,
32,Hansaviertel,13.341082773517808,52.518227766474425,0.5282960541490607,4,,,,,,,,,,
33,Haselhorst,13.2296547865235,52.548959432197464,4.522355252340931,5,,,,,,,,,,
34,Heiligensee,13.230861109633425,52.61080625396372,10.689321365489116,1,,,,,,,,,,
35,Heinersdorf,13.443360241895164,52.56983344094489,3.853680470551209,0,,,,,,,,,,
36,Hellersdorf,13.605754084676315,52.53097646446303,8.146962654135422,1,,,,,,,,,,
37,Hermsdorf,13.310034300212575,52.6144567934101,6.059298794219887,1,,,,,,,,,,
38,Johannisthal,13.5064635736714,52.44332296217827,6.521962504653887,5,,,,,,,,,,
39,Karlshorst,13.52517975320536,52.48311732732742,6.548948836348423,0,,,,,,,,,,
40,Karow,13.476264880564182,52.61209127395695,6.608629329388326,1,,,,,,,,,,
41,Kaulsdorf,13.587503273078775,52.501818369953206,8.688223818325744,1,,,,,,,,,,
42,Kladow,13.148193689030602,52.46237467870009,14.778705800363644,5,,,,,,,,,,
43,Konradshöhe,13.222662048819448,52.58112472203517,2.188453204664251,6,,,,,,,,,,
44,Kreuzberg,13.409381247775645,52.49654260023186,10.377353534784726,4,,,,,,,,,,
45,Köpenick,13.59879476274952,52.441425309575386,34.86971278576972,0,,,,,,,,,,
46,Lankwitz,13.351641787961842,52.4303727327443,6.989841975808644,1,,,,,,,,,,
47,Lichtenberg,13.49571535206502,52.52064786307899,7.202671568011334,0,,,,,,,,,,
48,Lichtenrade,13.402395428662913,52.39712675991163,10.051653793658865,5,,,,,,,,,,
49,Lichterfelde,13.305135113037737,52.429124191200025,18.231002644756895,5,,,,,,,,,,
50,Lübars,13.352767989810449,52.61560378015851,5.0109198982129675,2,,,,,,,,,,
51,Mahlsdorf,13.611944707263712,52.500882278394506,12.9890122225635,0,,,,,,,,,,
52,Malchow,13.48903595187229,52.57778893434546,1.5179257323108852,2,,,,,,,,,,
53,Mariendorf,13.388862783743543,52.435015743491704,9.377449632674082,5,,,,,,,,,,
54,Marienfelde,13.366312408449835,52.40874146734521,9.142823906048099,5,,,,,,,,,,
55,Marzahn,13.555800789154466,52.542058880298846,19.551388801186704,0,,,,,,,,,,
56,Mitte,13.400744490049485,52.52222392451958,10.67902641804228,4,,,,,,,,,,
57,Moabit,13.343040456643699,52.52902452338331,7.709211657951034,4,,,,,,,,,,
58,Märkisches Viertel,13.3540107140989,52.598671774399946,3.2460495163603147,5,,,,,,,,,,
59,Müggelheim,13.688706991632245,52.40525821987664,22.20603971879508,2,,,,,,,,,,
60,Neu-Hohenschönhausen,13.512384740919122,52.566897354337556,5.153655751899483,1,,,,,,,,,,
61,Neukölln,13.44193232474993,52.47731371374199,11.702476115288132,4,,,,,,,,,,
62,Niederschöneweide,13.51450162841708,52.45499522737424,3.500685313180865,4,,,,,,,,,,
63,Niederschönhausen,13.395182095375969,52.58141330894297,6.485515858086594,0,,,,,,,,,,
64,Nikolassee,13.190432642791343,52.44167259858892,19.62183572134532,2,,,,,,,,,,
65,Oberschöneweide,13.515093473957181,52.468017245543514,8.19649117398895,0,,,,,,,,,,
66,Pankow,13.408339066573568,52.56722789430256,5.6553964596303885,0,,,,,,,,,,
67,Plänterwald,13.480356253874715,52.4804443336285,3.0152498165430646,6,,,,,,,,,,
68,Prenzlauer Berg,13.435323017503594,52.53925464965303,11.009217410624197,4,,,,,,,,,,
69,Rahnsdorf,13.708166822252931,52.44475139535195,21.442750357801742,2,,,,,,,,,,
70,Reinickendorf,13.34104769678451,52.574048469765145,10.480908028191616,5,,,,,,,,,,
71,Rosenthal,13.39253465386746,52.595933220823326,4.920678018326968,1,,,,,,,,,,
72,Rudow,13.494696262674335,52.419351492124335,11.81814844906486,5,,,,,,,,,,
73,Rummelsburg,13.483829915016834,52.49858576645782,4.407601819410785,4,,,,,,,,,,
74,Schmargendorf,13.295629575420884,52.48100747471758,3.5880505575577453,4,,,,,,,,,,
75,Schmöckwitz,13.664328293652648,52.369613346773995,17.12911711946282,2,,,,,,,,,,
76,Schöneberg,13.352769195308298,52.479792576586476,10.642670181605,4,,,,,,,,,,
77,Siemensstadt,13.260483260280932,52.54221175430486,5.663824062191519,5,,,,,,,,,,
78,Spandau,13.185682604044771,52.536476499248465,8.23235517377258,5,,,,,,,,,,
79,Staaken,13.142544719769546,52.53449311742071,10.887246000901463,1,,,,,,,,,,
80,Stadtrandsiedlung Malchow,13.473277123437315,52.58479577492029,5.70739589531839,3,,,,,,,,,,
81,Steglitz,13.332596514907973,52.45520926335465,6.785696132790741,4,,,,,,,,,,
82,Tegel,13.264706364648436,52.58747128900176,33.63570763300307,2,,,,,,,,,,
83,Tempelhof,13.395951885353242,52.465146441238744,12.252859267932491,5,,,,,,,,,,
84,Tiergarten,13.354289825330916,52.51073888766504,5.180431172951035,4,,,,,,,,,,
85,Waidmannslust,13.314758688757356,52.605966272240664,2.2325349208358367,5,,,,,,,,,,
86,Wannsee,13.134532223394901,52.41971237665667,23.73501341106257,2,,,,,,,,,,
87,Wartenberg,13.517280436556607,52.58339211425613,6.923421159088453,1,,,,,,,,,,
88,Wedding,13.335520451166278,52.55005010515477,9.24523148630873,4,,,,,,,,,,
89,Weißensee,13.46264456885445,52.55282647052072,7.935563952406522,5,,,,,,,,,,
90,Westend,13.249731906589105,52.5096968792607,13.527129951945488,4,,,,,,,,,,
91,Wilhelmsruh,13.364060349832895,52.586677748207066,1.3603587949741185,5,,,,,,,,,,
92,Wilhelmstadt,13.192288352488315,52.514834066357544,10.42133747035823,6,,,,,,,,,,
93,Wilmersdorf,13.32145344871201,52.483949352344595,7.160953067663012,4,,,,,,,,,,
94,Wittenau,13.32349156037518,52.59295685256316,5.896167787945114,1,,,,,,,,,,
95,Zehlendorf,13.24887363602188,52.43671365948374,18.801668125562248,4,,,,,,,,,,
