Neighborhood,0-15,15-30,30-50,50-65,>65,Total
Adlershof,2642.0,3930.0,6268.0,3597.0,3497.0,18778.0
Alt-Hohenschönhausen,7640.0,7219.0,14199.0,9589.0,10332.0,46128.0
Alt-Treptow,2014.0,1920.0,5450.0,2174.0,1320.0,12067.0
Altglienicke,5051.0,4299.0,8072.0,7010.0,4925.0,27653.0
Baumschulenweg,2170.0,2936.0,5797.0,3490.0,4449.0,17950.0
Biesdorf,3611.0,3488.0,6807.0,7229.0,6934.0,26839.0
Blankenburg,1005.0,670.0,1637.0,1938.0,1625.0,6605.0
Blankenfelde,273.0,198.0,473.0,574.0,546.0,1998.0
Bohnsdorf,1511.0,1302.0,2873.0,3157.0,2828.0,11165.0
Borsigwalde,736.0,1214.0,1790.0,1597.0,1440.0,6470.0
Britz,5890.0,7492.0,11340.0,9256.0,8818.0,40704.0
Buch,2732.0,2561.0,4737.0,2994.0,3844.0,15785.0
Buckow,5519.0,6340.0,9196.0,8849.0,10799.0,38805.0
Charlottenburg,13960.0,23550.0,38897.0,27952.0,26304.0,125251.0
Charlottenburg-Nord,2746.0,3313.0,5293.0,3898.0,4347.0,18601.0
Dahlem,2595.0,2653.0,3755.0,3782.0,4144.0,16226.0
Falkenberg,353.0,291.0,526.0,513.0,187.0,1742.0
Falkenhagener Feld,6023.0,6479.0,9630.0,7861.0,8766.0,36720.0
Fennpfuhl,4077.0,6093.0,9382.0,5487.0,9035.0,32466.0
Französisch Buchholz,3514.0,2497.0,6049.0,5423.0,3798.0,20140.0
Friedenau,3689.0,4629.0,7614.0,6595.0,5736.0,27016.0
Friedrichsfelde,6399.0,9148.0,15042.0,8910.0,14314.0,51201.0
Friedrichshagen,2543.0,1944.0,4799.0,4218.0,5641.0,18211.0
Friedrichshain,17549.0,26991.0,60975.0,17954.0,12566.0,128176.0
Frohnau,2394.0,1971.0,3169.0,4045.0,5235.0,16141.0
Gatow,512.0,544.0,658.0,927.0,1092.0,3584.0
Gesundbrunnen,15430.0,22910.0,31043.0,14766.0,11026.0,89606.0
Gropiusstadt,5424.0,6207.0,8657.0,7213.0,10129.0,35541.0
Grunewald,1338.0,1359.0,2514.0,2376.0,3412.0,10564.0
Grünau,859.0,784.0,1943.0,1477.0,1721.0,6403.0
Hakenfelde,4263.0,5052.0,7898.0,6227.0,7856.0,29683.0
Halensee,1625.0,2453.0,4492.0,3438.0,3619.0,15016.0
Hansaviertel,436.0,1632.0,1513.0,1053.0,1292.0,5757.0
Haselhorst,2417.0,2554.0,4256.0,3260.0,3176.0,14789.0
Heiligensee,2457.0,2100.0,3631.0,4753.0,5159.0,17319.0
Heinersdorf,1171.0,1142.0,2082.0,1915.0,1559.0,7452.0
Hellersdorf,14126.0,13033.0,23706.0,18959.0,12285.0,76989.0
Hermsdorf,2173.0,1974.0,3289.0,4024.0,5147.0,15931.0
Johannisthal,2529.0,2891.0,5420.0,4272.0,4741.0,18902.0
Karlshorst,4930.0,4060.0,9095.0,5425.0,4446.0,26150.0
Karow,3332.0,2527.0,5505.0,4519.0,3796.0,18491.0
Kaulsdorf,2625.0,2035.0,4712.0,5678.0,4358.0,18577.0
Kladow,2636.0,1906.0,3564.0,3828.0,4278.0,15434.0
Konradshöhe,761.0,704.0,1137.0,1567.0,1835.0,5793.0
Kreuzberg,21279.0,30005.0,56591.0,29658.0,16818.0,146482.0
Köpenick,8531.0,8803.0,18216.0,13716.0,17499.0,63552.0
Lankwitz,5419.0,6799.0,10761.0,9336.0,11251.0,41634.0
Lichtenberg,5380.0,8513.0,14753.0,6722.0,6390.0,39499.0
Lichtenrade,7384.0,7320.0,11613.0,11613.0,14025.0,49448.0
Lichterfelde,11744.0,13126.0,20292.0,18890.0,22154.0,82532.0
Lübars,753.0,629.0,1144.0,1331.0,1346.0,4967.0
Mahlsdorf,4045.0,2799.0,7230.0,8728.0,6558.0,28060.0
Malchow,65.0,113.0,177.0,177.0,103.0,607.0
Mariendorf,6416.0,8592.0,13464.0,10999.0,13623.0,50584.0
Marienfelde,4747.0,4956.0,7648.0,6459.0,8539.0,30732.0
Marzahn,16385.0,16124.0,29984.0,22746.0,25782.0,105407.0
Mitte,12889.0,18752.0,39908.0,17463.0,13453.0,97143.0
Moabit,10048.0,19156.0,27089.0,14217.0,9985.0,76566.0
Märkisches Viertel,7926.0,7399.0,9759.0,6877.0,8418.0,37856.0
Müggelheim,875.0,619.0,1579.0,1999.0,1726.0,6531.0
Neu-Hohenschönhausen,9379.0,8194.0,15313.0,13787.0,10245.0,53576.0
Neukölln,23038.0,33611.0,66135.0,26234.0,17139.0,157391.0
Niederschöneweide,1758.0,2612.0,4014.0,2131.0,2335.0,12121.0
Niederschönhausen,5227.0,4306.0,9269.0,6994.0,6200.0,30315.0
Nikolassee,2281.0,2936.0,3420.0,3540.0,4518.0,16071.0
Oberschöneweide,3409.0,5369.0,8176.0,3693.0,2853.0,22048.0
Pankow,10481.0,9221.0,22972.0,11849.0,10422.0,61189.0
Plänterwald,1324.0,1653.0,3663.0,2192.0,2533.0,10806.0
Prenzlauer Berg,24321.0,27496.0,69283.0,27443.0,16460.0,155803.0
Rahnsdorf,1245.0,906.0,2149.0,2563.0,2660.0,9148.0
Reinickendorf,11729.0,16559.0,23630.0,16774.0,15217.0,79439.0
Rosenthal,1443.0,1287.0,2405.0,2575.0,1886.0,9190.0
Rudow,5798.0,6271.0,9474.0,10021.0,11067.0,40585.0
Rummelsburg,4169.0,4785.0,11358.0,3495.0,1843.0,23776.0
Schmargendorf,2614.0,3068.0,5390.0,4823.0,6310.0,21322.0
Schmöckwitz,596.0,424.0,1049.0,1168.0,1187.0,4212.0
Schöneberg,15107.0,22000.0,38290.0,27128.0,20550.0,117344.0
Siemensstadt,1926.0,2453.0,3619.0,2549.0,2284.0,12158.0
Spandau,5713.0,7936.0,11472.0,7827.0,6612.0,37348.0
Staaken,7690.0,8009.0,11016.0,9969.0,9923.0,44009.0
Stadtrandsiedlung Malchow,108.0,93.0,227.0,335.0,357.0,1091.0
Steglitz,9190.0,12575.0,21017.0,16443.0,16578.0,72253.0
Tegel,4265.0,5693.0,9184.0,8144.0,9700.0,35373.0
Tempelhof,8445.0,11374.0,18209.0,12584.0,11636.0,58925.0
Tiergarten,1698.0,3362.0,4758.0,2812.0,2251.0,14242.0
Waidmannslust,1976.0,1825.0,2644.0,2159.0,2369.0,10313.0
Wannsee,1482.0,1241.0,2157.0,2364.0,3090.0,9950.0
Wartenberg,327.0,220.0,652.0,877.0,472.0,2470.0
Wedding,10717.0,21406.0,28618.0,14844.0,11221.0,82675.0
Weißensee,8228.0,8071.0,18724.0,10194.0,8815.0,50906.0
Westend,4603.0,7173.0,9792.0,8657.0,11657.0,40357.0
Wilhelmsruh,1102.0,1100.0,2284.0,1726.0,1795.0,7607.0
Wilhelmstadt,5343.0,6702.0,10251.0,8719.0,9521.0,38720.0
Wilmersdorf,11184.0,16186.0,27784.0,22574.0,24891.0,98597.0
Wittenau,2728.0,3970.0,5481.0,5704.0,6773.0,23684.0
Zehlendorf,7716.0,8449.0,12456.0,13808.0,18109.0,58312.0
