,Neighborhood,Postal Code
0,Adlershof,"12487,12489"
1,Alt-Treptow,12435
2,Altglienicke,12524
3,Baumschulenweg,12437
4,Berlin-Siemensstadt,"13629,13629"
5,Biesdorf,12683
6,Blankenburg,13129
7,Blankenfelde,13159
8,Bohnsdorf,12526
9,Britz,"12099,12347,12349,12351,12359"
10,Buch,13125
11,Buchholz,13127
12,Buckow,"12107,12305,12349,12351,12353,12357,12359"
13,Charlottenbrg. (City-West),"10623,10625,10627,10629"
14,Charlottenburg,"10585,10587,10589,10707,10709,10711,10719,10787,10789,13353,13597,13627,13629,14050,14052,14053,14055,14057,14059"
15,Dahlem,"14169,14193,14195"
16,Falkenberg,13057
17,Flughafen Schönefeld,12527
18,Französisch Buchholz,"13127,13158"
19,Friedenau,"10827,12157,12159,12161,12163"
20,Friedrichsfelde,"10315,10317,10318,10319"
21,Friedrichshagen,12587
22,Friedrichshain,"10243,10245,10247,10249"
23,Frohnau,13465
24,Gatow (Kladow),14089
25,Grunewald,"10711,14055,14193,14199"
26,Grünau,12527
27,Hakenfelde,13587
28,Haselhorst,13599
29,Heiligensee,"13503,13505"
30,Heinersdorf,13089
31,Hellersdorf,"12619,12621,12627,12629"
32,Hermsdorf,"13465,13467"
33,Hessenwinkel,12589
34,Hohenschönhausen,"13051,13053,13055,13057,13059"
35,Johannisthal,"12487,12489"
36,Karlshorst,10318
37,Karolinenhof,12527
38,Karow,13125
39,Kaulsdorf,"12619,12621,12623"
40,Konradshöhe,13505
41,Kreuzberg,"10785,10961,10963,10965,10967,10969,10997,10999"
42,Köpenick,"12555,12557,12559"
43,Lankwitz,"12247,12249"
44,Lichtenberg,"10317,10365,10367,10369"
45,Lichtenrade,"12107,12305,12307,12309"
46,Lichterfelde,"12203,12205,12207,12209,12279,14167"
47,Lübars,13469
48,Mahlsdorf,12623
49,Malchow,"13051,13088"
50,Margaretenhöhe,13051
51,Mariendorf,"12099,12103,12105,12107,12109,12277"
52,Marienfelde,"12107,12277,12279,12307"
53,Marzahn,"12679,12681,12685,12687,12689"
54,Mitte,"10115,10117,10119,10178,10179,10435"
55,Müggelheim,12559
56,Neukölln,"10965,10967,12043,12045,12047,12049,12051,12053,12055,12057,12059,12099,12435"
57,Niederschöneweide,12439
58,Niederschönhausen,"13156,13158"
59,Nikolassee,"14109,14129,14163,14193"
60,Oberschöneweide,12459
61,Pankow,"10439,13187,13189"
62,Pichelsdorf,"13595,13597"
63,Plänterwald,"12435,12437"
64,Prenzlauer Berg,"10247,10249,10405,10407,10409,10435,10437,10439"
65,Rahnsdorf,12589
66,Reinickendorf,"13403,13405,13407,13409,13437,13469,13509"
67,Rosenthal,"13156,13158"
68,Rudow,"12351,12353,12355,12357,12359"
69,Rummelsburg,10317
70,Schmargendorf,"14193,14195,14199"
71,Schmöckwitz,12527
72,Schöneberg,"10777,10779,10781,10783,10785,10787,10789,10823,10825,10827,10829,10965,12103,12105,12157,12159"
73,Siemensstadt,"13599,13627"
74,Spandau,"13581,13583,13585,13587,13589,13591,13593,13595,13599"
75,Staaken,"13581,13591,13593"
76,Steglitz,"12157,12161,12163,12165,12167,12169,12247"
77,Tegel,"13403,13405,13503,13505,13507,13509,13599"
78,Tempelhof,"10965,12099,12101,12103,12105,12107,12109"
79,Tiergarten,"10551,10553,10555,10557,10559,10785,10787,10963,13353"
80,Waidmannslust,13469
81,Wannsee,14109
82,Wartenberg,"13051,13059"
83,Wedding,"13347,13349,13351,13353,13355,13357,13359,13405,13407,13409"
84,Weißensee,"13086,13088"
85,Wilhelmshagen,12589
86,Wilmersdorf,"10707,10709,10711,10713,10715,10717,10719,10777,10779,10789,10825,14055,14195,14197,14199"
87,Wittenau,"13403,13407,13435,13437,13439,13469"
88,Zehlendorf,"14129,14163,14165,14167,14169"
